gene_symbol,occurrences,retained_modules,copper,broad_iron,core_iron,status,recurrence_label
SMAD1,2,FTLD3_black; FTLD3_turquoise,FALSE,TRUE,TRUE,Recurrent,2/9
STEAP4,2,AD_ERC_darkred; FTLD1_red,FALSE,TRUE,FALSE,Recurrent,2/9
SUMF1,2,AD_ERC_darkred; FTLD3_turquoise,TRUE,FALSE,FALSE,Recurrent,2/9
TBXAS1,2,AD_ERC_darkred; FTLD3_black,FALSE,TRUE,FALSE,Recurrent,2/9
TET1,2,FTLD3_black; MSA_violet,FALSE,TRUE,TRUE,Recurrent,2/9
TFAP2A,2,AD_HIPPO_yellow; FTLD3_turquoise,FALSE,TRUE,TRUE,Recurrent,2/9
ABCC5,1,FTLD3_black,FALSE,TRUE,TRUE,Single module,1/9
ACP5,1,AD_ERC_darkred,FALSE,TRUE,TRUE,Single module,1/9
ALKBH2,1,FTLD3_turquoise,FALSE,TRUE,TRUE,Single module,1/9
ALKBH3,1,FTLD3_black,FALSE,TRUE,TRUE,Single module,1/9
ANKRD9,1,FTLD3_black,TRUE,FALSE,FALSE,Single module,1/9
AOX1,1,FTLD2_darkmagenta,FALSE,TRUE,TRUE,Single module,1/9
ATP13A2,1,FTLD3_black,FALSE,TRUE,TRUE,Single module,1/9
ATP6V1G1,1,FTLD3_black,FALSE,TRUE,TRUE,Single module,1/9
ATP7B,1,FTLD3_black,TRUE,FALSE,FALSE,Single module,1/9
BMP2,1,FTLD3_black,FALSE,TRUE,TRUE,Single module,1/9
CBS,1,FTLD3_turquoise,FALSE,TRUE,FALSE,Single module,1/9
CCS,1,AD_ERC_darkred,TRUE,FALSE,FALSE,Single module,1/9
CDO1,1,AD_HIPPO_yellow,FALSE,TRUE,TRUE,Single module,1/9
CISD3,1,AD_ERC_darkred,FALSE,TRUE,TRUE,Single module,1/9
COMMD1,1,FTLD1_red,TRUE,FALSE,FALSE,Single module,1/9
COX10,1,FTLD3_turquoise,FALSE,TRUE,FALSE,Single module,1/9
COX15,1,FTLD3_turquoise,FALSE,TRUE,FALSE,Single module,1/9
COX19,1,FTLD1_red,TRUE,FALSE,FALSE,Single module,1/9
CP,1,PSP_pink,TRUE,TRUE,TRUE,Single module,1/9
CUTC,1,FTLD3_turquoise,TRUE,FALSE,FALSE,Single module,1/9
CYBRD1,1,PSP_pink,FALSE,TRUE,TRUE,Single module,1/9
CYP17A1,1,FTLD1_red,FALSE,TRUE,FALSE,Single module,1/9
CYP19A1,1,PSP_pink,FALSE,TRUE,FALSE,Single module,1/9
CYP2R1,1,FTLD3_turquoise,FALSE,TRUE,TRUE,Single module,1/9
EGLN2,1,FTLD3_turquoise,FALSE,TRUE,TRUE,Single module,1/9
ETHE1,1,FTLD2_darkmagenta,FALSE,TRUE,TRUE,Single module,1/9
FXN,1,FTLD3_black,FALSE,TRUE,TRUE,Single module,1/9
HEBP1,1,AD_ERC_darkred,FALSE,TRUE,FALSE,Single module,1/9
HEPHL1,1,FTLD3_black,TRUE,TRUE,TRUE,Single module,1/9
HFE,1,PSP_pink,FALSE,TRUE,TRUE,Single module,1/9
HMBS,1,FTLD3_black,FALSE,TRUE,FALSE,Single module,1/9
ISCA1,1,MSA_violet,FALSE,TRUE,TRUE,Single module,1/9
LOXL2,1,AD_ERC_darkred,TRUE,FALSE,FALSE,Single module,1/9
MMS19,1,FTLD3_turquoise,FALSE,TRUE,TRUE,Single module,1/9
NDFIP1,1,FTLD3_black,FALSE,TRUE,TRUE,Single module,1/9
NOS3,1,AD_ERC_darkred,FALSE,TRUE,FALSE,Single module,1/9
PHYH,1,FTLD3_black,FALSE,TRUE,TRUE,Single module,1/9
PLOD3,1,FTLD1_red,FALSE,TRUE,TRUE,Single module,1/9
PPP1CA,1,FTLD3_turquoise,FALSE,TRUE,TRUE,Single module,1/9
S100A13,1,FTLD1_red,TRUE,FALSE,FALSE,Single module,1/9
S100A5,1,AD_ERC_greenyellow,TRUE,FALSE,FALSE,Single module,1/9
SCD,1,FTLD3_black,FALSE,TRUE,TRUE,Single module,1/9
SLC11A2,1,FTLD3_turquoise,TRUE,TRUE,TRUE,Single module,1/9
SMAD9,1,FTLD3_black,FALSE,TRUE,TRUE,Single module,1/9
SNCB,1,PSP_pink,TRUE,FALSE,FALSE,Single module,1/9
SOD1,1,FTLD3_turquoise,TRUE,FALSE,FALSE,Single module,1/9
SRC,1,FTLD3_turquoise,FALSE,TRUE,FALSE,Single module,1/9
STEAP3,1,MSA_violet,FALSE,TRUE,FALSE,Single module,1/9
TFR2,1,AD_ERC_darkred,FALSE,TRUE,TRUE,Single module,1/9
TFRC,1,MSA_violet,FALSE,TRUE,TRUE,Single module,1/9
TMPRSS6,1,PSP_pink,FALSE,TRUE,TRUE,Single module,1/9
